StartDevice,StartPort,EndDevice,EndPort,BandWidth,VlanID,VlanMode
ck326,Ethernet0,gd524,Ethernet1/1,40000,1681,Access
ck326,Ethernet4,gd524,Ethernet2/1,40000,1682,Access
ck326,Ethernet8,gd524,Ethernet3/1,40000,1683,Access
ck326,Ethernet12,gd524,Ethernet4/1,40000,1684,Access
ck326,Ethernet16,gd524,Ethernet5/1,40000,1685,Access
ck326,Ethernet20,gd524,Ethernet6/1,40000,1686,Access
ck326,Ethernet24,gd524,Ethernet7/1,40000,1687,Access
ck326,Ethernet28,gd524,Ethernet8/1,40000,1688,Access
ck326,Ethernet32,gd524,Ethernet9/1,40000,1689,Access
ck326,Ethernet36,gd524,Ethernet10/1,40000,1690,Access
ck326,Ethernet40,gd524,Ethernet11/1,40000,1691,Access
ck326,Ethernet44,gd524,Ethernet12/1,40000,1692,Access
ck326,Ethernet48,gd524,Ethernet13/1,40000,1693,Access
ck326,Ethernet52,gd524,Ethernet14/1,40000,1694,Access
ck326,Ethernet56,gd524,Ethernet15/1,40000,1695,Access
ck326,Ethernet60,gd524,Ethernet16/1,40000,1696,Access
ck326,Ethernet64,gd524,Ethernet17/1,40000,1697,Access
ck326,Ethernet68,gd524,Ethernet18/1,40000,1698,Access
ck326,Ethernet72,gd524,Ethernet19/1,40000,1699,Access
ck326,Ethernet76,gd524,Ethernet20/1,40000,1700,Access
ck326,Ethernet80,gd524,Ethernet21/1,40000,1701,Access
ck326,Ethernet84,gd524,Ethernet22/1,40000,1702,Access
ck326,Ethernet88,gd524,Ethernet23/1,40000,1703,Access
ck326,Ethernet92,gd524,Ethernet24/1,40000,1704,Access
ck326,Ethernet96,gd524,Ethernet25/1,40000,1705,Access
ck326,Ethernet100,gd524,Ethernet26/1,40000,1706,Access
ck326,Ethernet104,gd524,Ethernet27/1,40000,1707,Access
ck326,Ethernet108,gd524,Ethernet28/1,40000,1708,Access
ck326,Ethernet112,gd524,Ethernet29/1,40000,1709,Access
ck326,Ethernet116,gd524,Ethernet30/1,40000,1710,Access
ck326,Ethernet120,gd524,Ethernet31/1,40000,1711,Access
ck326,Ethernet124,gd524,Ethernet32/1,40000,1712,Access
up763,Ethernet3/1,tst-cva-34,enp59s0np0,40000,,Trunk
up763,Ethernet17/1,gd524,Ethernet64/1,100000,1681-1712,Trunk
